CODE SECTEUR ACTIVITE;SECTEUR D'ACTIVITE;CODE METIER;METIER
1;MÉCANIQUE & AUTOMOBILE;1;MÉCANICIEN AUTOMOBILE
1;MÉCANIQUE & AUTOMOBILE;2;MÉCANICIEN POIDS LOURDS
1;MÉCANIQUE & AUTOMOBILE;3;DIÉSÉLISTE
1;MÉCANIQUE & AUTOMOBILE;4;ÉLECTRICIEN AUTOMOBILE
1;MÉCANIQUE & AUTOMOBILE;5;MÉCANICIEN MOTO
1;MÉCANIQUE & AUTOMOBILE;6;MÉCANICIEN ENGINS BTP
1;MÉCANIQUE & AUTOMOBILE;7;MÉCANICIEN AGRICOLE
1;MÉCANIQUE & AUTOMOBILE;8;TECHNICIEN DIAGNOSTIC AUTOMOBILE
1;MÉCANIQUE & AUTOMOBILE;9;SPÉCIALISTE CLIMATISATION AUTO
1;MÉCANIQUE & AUTOMOBILE;10;AJUSTEUR-MONTEUR
1;MÉCANIQUE & AUTOMOBILE;11;PEINTRE AUTOMOBILE
1;MÉCANIQUE & AUTOMOBILE;12;TECHNICIEN DE MAINTENANCE INDUSTRIELLE
1;MÉCANIQUE & AUTOMOBILE;13;MÉCANICIEN INDUSTRIEL
1;MÉCANIQUE & AUTOMOBILE;14;MÉCANICIEN DE MACHINES INDUSTRIELLES
1;MÉCANIQUE & AUTOMOBILE;15;VULCANISATEUR
1;MÉCANIQUE & AUTOMOBILE;16;TECHNICIEN ÉLECTROMÉCANICIEN
1;MÉCANIQUE & AUTOMOBILE;17;TOURNEUR
1;MÉCANIQUE & AUTOMOBILE;18;FRAISEUR
1;MÉCANIQUE & AUTOMOBILE;19;TOURNEUR-FRAISEUR
1;MÉCANIQUE & AUTOMOBILE;20;AJUSTEUR MÉCANIQUE
1;MÉCANIQUE & AUTOMOBILE;21;RECTIFIEUR
1;MÉCANIQUE & AUTOMOBILE;22;TECHNICIEN HYDRAULIQUE
1;MÉCANIQUE & AUTOMOBILE;23;MÉCANICIEN D’ENGINS DE CHANTIER
1;MÉCANIQUE & AUTOMOBILE;24;MÉCANICIEN TRACTEURS ET MACHINES AGRICOLES
1;MÉCANIQUE & AUTOMOBILE;25;TECHNICIEN EN GÉNIE MÉCANIQUE
1;MÉCANIQUE & AUTOMOBILE;26;DESSINATEUR INDUSTRIEL (CAO/DAO)
2;ÉLECTRICITÉ & ÉNERGIE;27;ÉLECTRICIEN BÂTIMENT
2;ÉLECTRICITÉ & ÉNERGIE;28;ÉLECTRICIEN INDUSTRIEL
2;ÉLECTRICITÉ & ÉNERGIE;29;ÉLECTRICIEN RÉSEAUX
2;ÉLECTRICITÉ & ÉNERGIE;30;TECHNICIEN ÉNERGIE SOLAIRE
2;ÉLECTRICITÉ & ÉNERGIE;31;INSTALLATEUR PANNEAUX SOLAIRES
2;ÉLECTRICITÉ & ÉNERGIE;32;TECHNICIEN ONDULEURS
2;ÉLECTRICITÉ & ÉNERGIE;33;INSTALLATEUR DE GROUPES ÉLECTROGÈNES
2;ÉLECTRICITÉ & ÉNERGIE;34;TECHNICIEN EN BATTERIES SOLAIRES
2;ÉLECTRICITÉ & ÉNERGIE;35;TECHNICIEN EN ONDULEURS ET RÉGULATEURS SOLAIRES
2;ÉLECTRICITÉ & ÉNERGIE;36;CÂBLEUR
2;ÉLECTRICITÉ & ÉNERGIE;37;ÉLECTROMÉCANICIEN
2;ÉLECTRICITÉ & ÉNERGIE;38;AUTOMATICIEN
3;PLOMBERIE & FLUIDES;39;PLOMBIER SANITAIRE
3;PLOMBERIE & FLUIDES;40;PLOMBIER INSTALLATEUR
3;PLOMBERIE & FLUIDES;41;INSTALLATEUR GAZ DOMESTIQUE
3;PLOMBERIE & FLUIDES;42;TECHNICIEN SÉCURITÉ GAZ
3;PLOMBERIE & FLUIDES;43;INSTALLATEUR CHAUFFE-EAU
3;PLOMBERIE & FLUIDES;44;TECHNICIEN CLIMATISATION
3;PLOMBERIE & FLUIDES;45;INSTALLATEUR GAZ
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);46;MAÇON
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);47;MAÇON BÉTON ARMÉ
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);48;COFFREUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);49;COFFREUR-BANCHEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);50;FERRAILLEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);51;TERRASSIER
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);52;CONSTRUCTEUR EN BÉTON
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);53;OUVRIER DE FONDATIONS
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);54;CARRELEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);55;PLAQUISTE (PLACO)
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);56;PLÂTRIER
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);57;ENDUISEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);58;PEINTRE EN BÂTIMENT
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);59;POSEUR DE REVÊTEMENTS DE SOLS (PVC, PARQUET)
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);60;POSEUR DE FAUX PLAFONDS
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);61;COUVREUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);62;ZINGUEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);63;ÉTANCHEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);64;POSEUR DE TOITURES (TÔLES, TUILES, BAC ACIER)
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);65;ÉTANCHEUR DE TERRASSES ET TOITS PLATS
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);66;OUVRIER TRAVAUX PUBLICS
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);67;POSEUR DE PAVÉS ET BORDURES
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);68;CONDUCTEUR D’ENGINS DE CHANTIER
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);69;COMPACTEUR / NIVELEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);70;OUVRIER VRD (VOIRIE ET RÉSEAUX DIVERS)
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);71;CANALISATEUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);72;MONTEUR D’ÉCHAFAUDAGES
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);73;MANUTENTIONNAIRE BTP
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);74;AIDE-MAÇON
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);75;AIDE-COFFREUR
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);76;ISOLATEUR THERMIQUE ET ACOUSTIQUE
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);77;POSEUR DE PANNEAUX SOLAIRES (TOITURE)
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);78;APPLICATEUR DE PEINTURE DÉCORATIVE
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);79;CHEF MAÇON
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);80;PEINTRE BÂTIMENT
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);81;FAÏENCIER
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);82;CHEF DE CHANTIER
4;BÂTIMENT & TRAVAUX PUBLICS (BTP);83;CONDUCTEUR DE TRAVAUX
5;MENUISERIE & BOIS;84;MENUISIER BOIS
5;MENUISERIE & BOIS;85;MENUISIER ALUMINIUM
5;MENUISERIE & BOIS;86;MENUISIER MÉTALLIQUE
5;MENUISERIE & BOIS;87;ÉBÉNISTE
5;MENUISERIE & BOIS;88;CHARPENTIER
5;MENUISERIE & BOIS;89;POSEUR DE CUISINES
5;MENUISERIE & BOIS;90;POSEUR DE PORTES ET FENÊTRES
6;MÉTALLURGIE & SOUDURE;91;SOUDEUR
6;MÉTALLURGIE & SOUDURE;92;SOUDEUR À L’ARC
6;MÉTALLURGIE & SOUDURE;93;SOUDEUR TIG / MIG
6;MÉTALLURGIE & SOUDURE;94;CHAUDRONNIER
6;MÉTALLURGIE & SOUDURE;95;TUYAUTEUR
6;MÉTALLURGIE & SOUDURE;96;INSTALLATEUR DE RÉSEAUX AIR COMPRIMÉ
6;MÉTALLURGIE & SOUDURE;97;TECHNICIEN EN FLUIDES INDUSTRIELS
6;MÉTALLURGIE & SOUDURE;98;SERRURIER
6;MÉTALLURGIE & SOUDURE;99;MÉTALLIER
6;MÉTALLURGIE & SOUDURE;100;SERRURIER-MÉTALLIER
6;MÉTALLURGIE & SOUDURE;101;POSEUR DE CHARPENTES MÉTALLIQUES
6;MÉTALLURGIE & SOUDURE;102;POSEUR DE GARDE-CORPS ET GRILLES
6;MÉTALLURGIE & SOUDURE;103;FORGERON
7;ARTISANAT & MÉTIERS CRÉATIFS;104;TAILLEUR / COUTURIER
7;ARTISANAT & MÉTIERS CRÉATIFS;105;STYLISTE
7;ARTISANAT & MÉTIERS CRÉATIFS;106;CORDONNIER
7;ARTISANAT & MÉTIERS CRÉATIFS;107;MAROQUINIER
7;ARTISANAT & MÉTIERS CRÉATIFS;108;BIJOUTIER
7;ARTISANAT & MÉTIERS CRÉATIFS;109;PEINTRE DÉCORATEUR
7;ARTISANAT & MÉTIERS CRÉATIFS;110;SCULPTEUR
8;NUMÉRIQUE & TECHNIQUE;111;TECHNICIEN INFORMATIQUE
8;NUMÉRIQUE & TECHNIQUE;112;RÉPARATEUR TÉLÉPHONES
8;NUMÉRIQUE & TECHNIQUE;113;INSTALLATEUR RÉSEAU
8;NUMÉRIQUE & TECHNIQUE;114;TECHNICIEN VIDÉOSURVEILLANCE
8;NUMÉRIQUE & TECHNIQUE;115;TECHNICIEN FIBRE OPTIQUE
8;NUMÉRIQUE & TECHNIQUE;116;DÉPANNEUR ÉLECTRONIQUE
8;NUMÉRIQUE & TECHNIQUE;117;WEBMASTER
8;NUMÉRIQUE & TECHNIQUE;118;DÉVELOPPEUR
9;FROID, CLIMATISATION & ÉQUIPEMENTS;119;INSTALLATEUR CLIMATISEURS
9;FROID, CLIMATISATION & ÉQUIPEMENTS;120;TECHNICIEN FROID COMMERCIAL
9;FROID, CLIMATISATION & ÉQUIPEMENTS;121;TECHNICIEN MAINTENANCE ÉQUIPEMENTS
9;FROID, CLIMATISATION & ÉQUIPEMENTS;122;FRIGORISTE
10;SERVICES & MÉTIERS DE PROXIMITÉ;123;CUISINIER
10;SERVICES & MÉTIERS DE PROXIMITÉ;124;TRAITEUR
10;SERVICES & MÉTIERS DE PROXIMITÉ;125;BOULANGER
10;SERVICES & MÉTIERS DE PROXIMITÉ;126;PÂTISSIER
10;SERVICES & MÉTIERS DE PROXIMITÉ;127;COIFFEUR
10;SERVICES & MÉTIERS DE PROXIMITÉ;128;LAVENDIERE
10;SERVICES & MÉTIERS DE PROXIMITÉ;129;ESTHÉTICIEN(NE)
10;SERVICES & MÉTIERS DE PROXIMITÉ;130;AGENT DE NETTOYAGE
10;SERVICES & MÉTIERS DE PROXIMITÉ;131;LAVEUR AUTO
10;SERVICES & MÉTIERS DE PROXIMITÉ;132;JARDINIER
11;SÉCURITÉ & INSTALLATION;133;AGENT DE SÉCURITÉ
11;SÉCURITÉ & INSTALLATION;134;INSTALLATEUR ALARMES
11;SÉCURITÉ & INSTALLATION;135;INSTALLATEUR VIDÉOSURVEILLANCE
11;SÉCURITÉ & INSTALLATION;136;TECHNICIEN CONTRÔLE D’ACCÈS
11;SÉCURITÉ & INSTALLATION;137;GARDIEN
12;ASSAINISSEMENT & EAU;138;TECHNICIEN ASSAINISSEMENT
12;ASSAINISSEMENT & EAU;139;INSTALLATEUR DE FOSSES SEPTIQUES
12;ASSAINISSEMENT & EAU;140;VIDANGEUR DE FOSSES
12;ASSAINISSEMENT & EAU;141;DÉBOUCHEUR DE CANALISATIONS
12;ASSAINISSEMENT & EAU;142;INSTALLATEUR DE RÉSEAUX D’ÉVACUATION
12;ASSAINISSEMENT & EAU;143;TECHNICIEN TRAITEMENT DE L’EAU